100 1000
54 -91 61 
-10 -78 97 
6 24 43 
40 -10 52 
26 90 68 
79 -49 72 
37 9 -54 
92 -10 32 
-16 75 -93 
79 -73 -24 
22 33 -8 
-87 -32 -31 
-65 -9 58 
-56 -33 -100 
-15 74 -31 
99 86 65 
-14 -84 29 
49 65 39 
-55 -85 21 
62 -17 -40 
-77 -34 26 
11 82 52 
-2 76 -4 
49 54 60 
-52 -77 39 
87 -36 65 
40 58 83 
-77 48 60 
54 -14 -95 
44 -2 -28 
-19 -97 40 
-52 35 23 
13 56 64 
46 76 38 
2 8 32 
-60 94 63 
-66 -85 -44 
53 -80 -98 
48 -13 -47 
2 46 42 
-94 79 27 
-59 20 31 
-36 6 -100 
5 24 93 
41 49 40 
44 -73 100 
86 -55 -39 
-65 -37 81 
39 12 36 
-27 93 -59 
86 79 -5 
21 -88 -98 
94 -11 -47 
51 -9 -93 
-25 91 8 
-21 75 -40 
-91 -94 61 
-3 -54 26 
-66 -49 -87 
-79 52 -10 
-75 -80 30 
-33 -96 -85 
-27 3 -89 
-89 57 69 
-73 -32 69 
-1 42 98 
-13 -95 24 
-40 1 21 
-18 51 29 
75 -52 -63 
-18 -96 13 
77 -75 45 
100 -24 98 
72 -85 37 
56 -68 88 
-86 1 -13 
44 -57 75 
-80 -48 -59 
-43 26 -1 
28 49 -24 
65 27 -97 
-95 70 34 
-33 -59 -90 
-6 -20 45 
61 52 13 
-46 -64 5 
73 -65 -59 
-28 14 -44 
-64 -8 -91 
66 75 87 
-4 -69 -79 
-75 -10 5 
73 95 -27 
49 98 50 
-97 25 45 
-46 87 48 
-1 -65 -81 
78 46 -81 
30 4 -43 
91 4 33 
65 -78 -68 
55 44 25 
94 -70 -61 
-63 60 -78 
-45 80 15 
-57 75 77 
-18 -58 -77 
3 59 -7 
52 -69 3 
27 -70 -30 
-55 -21 85 
52 25 87 
98 32 71 
64 11 -3 
46 -91 -67 
-86 -92 24 
33 42 45 
-81 84 32 
8 -97 -65 
6 -49 94 
41 3 -50 
37 -34 -74 
81 -82 74 
-22 -87 -56 
-36 68 30 
18 86 -28 
-88 -58 81 
27 24 63 
-21 3 5 
-41 98 58 
45 -57 72 
57 -8 -31 
-7 87 12 
56 71 28 
32 -96 43 
-54 75 1 
89 -34 -25 
14 -81 2 
73 -84 -18 
-10 -89 -44 
11 -58 26 
-93 -18 -1 
69 -83 6 
-66 9 -94 
13 41 81 
-64 19 69 
81 80 45 
57 68 -44 
-65 91 -24 
-19 28 -55 
-69 -19 -91 
63 87 23 
89 -76 54 
57 -55 -88 
1 97 90 
-69 1 -75 
25 -66 69 
-100 -42 -60 
-13 32 57 
-13 83 -38 
-57 77 97 
-67 -10 26 
-58 80 -99 
95 11 -61 
35 -36 -64 
-26 59 -39 
80 64 -45 
8 -10 -54 
-86 77 -11 
84 13 23 
-61 -91 -46 
-84 -33 -64 
-68 -72 63 
-83 21 50 
6 -29 37 
74 52 83 
-52 -81 89 
-52 100 44 
91 46 -57 
-42 8 -81 
73 17 98 
52 93 -99 
-53 59 -2 
-1 57 -65 
-37 -100 -90 
-43 89 -14 
37 -65 88 
-100 70 -48 
46 90 -55 
-94 9 -100 
-11 29 75 
43 -34 82 
93 82 57 
44 56 51 
-84 77 -96 
-49 -15 -1 
-88 -29 -19 
