100 460
-16 55 -30 
6 -91 -46 
-7 -67 -92 
-42 47 41 
-11 -78 -81 
83 -50 88 
5 53 -14 
27 -96 -61 
2 91 9 
35 73 -97 
97 35 -11 
-70 -36 -41 
79 -23 -64 
-100 -24 64 
72 5 100 
30 -18 43 
90 -79 -71 
99 27 98 
92 10 47 
-18 -76 37 
-14 -18 20 
81 5 -22 
61 -67 11 
-31 -39 -99 
24 -57 -1 
-61 58 30 
40 77 18 
13 74 -70 
-44 -14 85 
-42 -3 -10 
5 -59 2 
-78 -63 59 
14 -45 90 
-14 -11 5 
-22 -7 98 
2 -37 -21 
83 59 72 
13 -29 24 
63 -31 -22 
-92 33 -100 
-88 1 33 
62 -38 52 
-3 15 -50 
-10 97 -83 
12 81 69 
-55 25 7 
-3 28 -44 
74 6 -65 
18 46 42 
-68 -74 25 
-40 -47 -53 
50 89 -76 
61 73 23 
-62 45 -24 
48 51 -43 
-1 77 -12 
3 -45 50 
-35 37 -63 
-30 11 -51 
-26 -2 -75 
64 20 48 
-67 75 49 
45 64 41 
-62 -75 -89 
-91 -74 -58 
-23 87 48 
28 60 59 
-6 -86 12 
73 4 44 
12 11 -18 
-40 72 41 
-87 53 -22 
-42 -4 -7 
26 -65 -51 
-30 77 -4 
93 -84 -39 
31 19 100 
68 13 -66 
-90 -75 -48 
-37 36 -14 
-42 69 -10 
93 76 -48 
-22 -88 -100 
71 -84 -9 
-62 -57 -41 
96 18 -50 
-19 97 -39 
-39 61 19 
1 -62 -84 
22 39 20 
-15 53 -10 
-81 35 44 
3 -93 -79 
-15 -5 82 
-100 91 -20 
51 -77 -15 
-74 -56 25 
43 -31 79 
-31 -32 85 
-12 -34 -4 
69 37 20 
60 86 -20 
46 99 67 
-84 -13 -40 
-27 9 85 
2 -51 -71 
45 -7 -10 
72 -43 -74 
-79 -22 -52 
78 51 94 
3 87 -72 
-19 8 47 
-40 18 -84 
-92 35 21 
-87 75 70 
-7 -63 9 
-49 56 64 
81 14 -61 
-65 -39 -74 
54 34 20 
-16 68 19 
-87 -35 75 
8 89 83 
-28 -10 -61 
91 -12 74 
83 -32 -79 
-14 -43 -38 
78 60 93 
-60 -70 100 
52 -87 3 
-58 -91 33 
77 -11 48 
-66 -82 74 
-8 -25 28 
-57 -74 -1 
87 -3 99 
42 -58 -91 
-49 17 38 
-48 -2 -63 
-19 -67 36 
28 45 39 
-34 17 75 
-90 -36 14 
45 -13 -94 
44 58 26 
-43 -49 58 
-38 91 -31 
49 -82 56 
-84 -58 -88 
88 -58 -8 
88 -96 -33 
45 65 73 
28 63 -17 
22 -13 57 
-98 71 75 
-37 66 -14 
43 -30 -51 
67 -17 -13 
-3 78 17 
-66 76 -49 
-36 25 72 
21 13 -87 
34 51 -80 
24 59 -4 
50 86 -55 
3 -76 -22 
50 -60 62 
-32 64 -7 
88 81 94 
27 46 34 
98 8 -26 
74 -73 -39 
-95 58 67 
-72 -90 36 
80 -57 -84 
3 -97 -67 
-85 -49 -33 
-37 87 83 
-21 56 -99 
12 93 -56 
-12 -19 76 
87 -98 93 
93 59 -52 
34 5 39 
-93 -57 97 
-59 -24 38 
-90 -88 -46 
94 -63 -3 
-61 54 88 
-65 57 -46 
-3 -68 -96 
-86 -1 24 
-25 -58 -80 
-44 -58 -4 
-53 15 -78 
-78 68 48 
26 -68 -19 
28 -12 -31 
97 -47 -12 
44 97 -71 
-89 -82 4 
-16 91 51 
14 -57 92 
82 16 13 
-69 -84 -12 
48 -54 -22 
-46 51 -86 
63 49 81 
30 -67 48 
-74 15 67 
-42 73 68 
-63 88 -4 
-55 48 -90 
-54 -60 92 
77 100 48 
19 -77 -37 
49 -93 37 
-45 -81 -41 
-30 49 -50 
100 73 12 
37 9 -65 
69 -53 -77 
50 -66 -100 
67 -37 39 
-44 -94 -52 
44 100 52 
-94 20 89 
-89 -16 -56 
99 -78 -67 
93 63 -92 
66 -68 90 
-63 32 64 
-2 -77 95 
84 33 86 
-95 -100 -66 
-9 -67 -4 
-59 -17 3 
-65 3 35 
-8 35 -15 
-61 14 12 
-20 -24 1 
-58 -26 79 
31 -3 -59 
-82 -79 65 
-68 -7 49 
-28 -17 -46 
-83 61 -38 
-10 50 80 
11 -38 -14 
-56 -90 19 
80 -32 55 
45 87 -96 
-51 -44 27 
-39 -98 -27 
56 -31 40 
96 97 -71 
56 -63 65 
-59 -79 -89 
-35 -58 -67 
-55 -17 45 
82 -5 77 
24 20 33 
18 -82 -46 
-44 -2 -19 
35 -90 -18 
-49 20 -78 
82 -46 -18 
-56 98 15 
88 26 -90 
-22 -96 75 
31 37 15 
-61 -67 32 
80 -71 -20 
94 -33 -57 
23 77 96 
-52 38 90 
-69 -75 -79 
-48 77 4 
92 -37 -86 
30 -14 18 
-86 56 -29 
39 -99 -35 
-6 48 43 
20 -5 29 
-8 -15 61 
-25 -31 -70 
-23 -17 -11 
44 -80 29 
54 -18 5 
-8 -91 66 
-59 88 -15 
51 25 -80 
-62 4 40 
92 41 -86 
5 67 -60 
7 48 -22 
-1 59 -61 
57 91 -96 
-52 -85 -75 
65 74 99 
-43 1 -21 
34 -74 16 
-4 41 75 
-53 -74 98 
19 -76 -36 
-27 19 -43 
44 -23 98 
-65 -93 75 
-62 -1 79 
25 -83 -98 
64 5 -40 
55 -52 79 
-84 -36 -92 
21 -29 -18 
-5 -93 -18 
-29 -81 96 
42 -60 2 
-70 -41 -39 
-98 56 -84 
55 -71 -91 
-83 35 80 
-59 -9 -99 
54 3 28 
-18 96 30 
-18 -41 -3 
-27 -48 -78 
-22 70 90 
95 -14 -68 
36 83 -60 
41 34 35 
-24 50 98 
91 100 -92 
68 65 50 
24 20 -82
